iter	Passed	Remaining
887	22864	2883
888	22885	2857
889	22905	2831
890	22932	2805
891	22954	2779
892	22974	2752
893	22997	2726
894	23019	2700
895	23040	2674
896	23068	2648
897	23090	2622
898	23114	2596
899	23136	2570
900	23159	2544
901	23184	2518
902	23206	2492
903	23229	2466
904	23253	2440
905	23275	2414
906	23296	2388
907	23321	2363
908	23345	2337
909	23368	2311
910	23391	2285
911	23413	2259
912	23436	2233
913	23455	2206
914	23475	2180
915	23496	2154
916	23518	2128
917	23542	2102
918	23563	2076
919	23587	2051
920	23610	2025
921	23632	1999
922	23654	1973
923	23675	1947
924	23695	1921
925	23718	1895
926	23739	1869
927	23760	1843
928	23782	1817
929	23800	1791
930	23822	1765
931	23846	1739
932	23869	1714
933	23891	1688
934	23914	1662
935	23936	1636
936	23957	1610
937	23979	1585
938	23999	1559
939	24023	1533
940	24045	1507
941	24068	1481
942	24091	1456
943	24115	1430
944	24135	1404
945	24161	1379
946	24187	1353
947	24207	1327
948	24231	1302
949	24255	1276
950	24275	1250
951	24299	1225
952	24324	1199
953	24348	1174
954	24370	1148
955	24395	1122
956	24415	1097
957	24437	1071
958	24460	1045
959	24481	1020
960	24503	994
961	24527	968
962	24549	943
963	24571	917
964	24595	892
965	24619	866
966	24645	841
967	24666	815
968	24688	789
969	24710	764
970	24729	738
971	24753	713
972	24770	687
973	24794	661
974	24816	636
975	24836	610
976	24859	585
977	24882	559
978	24902	534
979	24925	508
980	24948	483
981	24971	457
982	24995	432
983	25017	406
984	25042	381
985	25065	355
986	25090	330
987	25112	305
988	25130	279
989	25157	254
990	25182	228
991	25204	203
992	25229	177
993	25254	152
994	25278	127
995	25300	101
996	25323	76
997	25344	50
998	25367	25
999	25391	0
